100 50
1 7 31
3 43 50
3 34 8
1 17 56
1 48 18
3 7 34
2 22 14
2 5 54
4 31 26
4 3 14
2 2 23
1 6 45
2 28 48
1 30 12
1 25 54
4 5 29
1 14 29
4 1 47
2 24 46
1 8 37
3 43 5
1 33 17
3 29 38
1 12 52
1 0 23
3 28 22
1 35 57
3 25 44
4 9 44
4 29 20
0 0 40
1 42 28
3 20 13
1 30 47
0 23 40
4 3 30
3 48 3
3 17 2
3 48 4
3 9 44
4 4 12
2 28 11
4 12 34
0 47 2
0 18 46
2 8 51
3 28 33
1 40 25
2 38 4
100 50
0 42 51
0 8 37
4 8 22
0 29 28
4 34 4
2 30 38
4 10 44
3 19 8
1 15 17
0 7 16
2 11 50
4 38 10
1 31 28
4 29 9
0 14 42
1 4 24
2 13 43
4 30 35
0 31 43
3 13 54
3 11 37
0 9 26
3 12 32
2 9 1
0 24 28
2 16 30
1 16 55
2 29 8
1 38 37
0 37 20
4 40 38
2 11 31
4 22 23
2 16 35
3 17 26
0 8 30
4 6 36
0 15 47
2 44 30
4 25 29
4 30 15
2 36 57
2 13 24
0 43 9
2 8 7
1 4 0
2 36 56
3 48 32
4 23 20
0 39 41
100 50
3 10 34
2 2 4
2 37 28
0 37 1
0 9 22
3 24 56
1 17 27
4 41 44
4 16 58
0 0 19
2 17 40
3 30 29
2 1 6
1 5 33
0 46 54
3 37 30
3 18 32
3 36 36
4 20 57
3 33 37
3 26 54
0 43 12
3 34 9
1 7 17
1 20 36
2 36 42
4 13 24
3 0 31
4 3 48
3 15 29
1 21 27
4 36 0
2 26 17
0 29 41
1 6 11
4 1 53
4 15 31
2 24 59
3 25 37
2 42 38
3 19 7
1 19 7
1 8 29
1 35 50
2 0 16
2 20 0
2 3 25
4 9 8
2 27 38
4 8 24
100 50
1 2 5
2 5 20
1 24 42
3 30 1
3 26 51
2 11 48
0 15 6
1 36 15
2 8 25
0 4 3
3 24 41
1 33 1
4 36 24
1 0 16
2 19 32
4 26 1
3 30 7
2 36 58
2 47 25
2 0 43
3 44 1
0 37 24
4 3 58
1 26 5
3 22 52
0 6 20
1 2 32
1 11 50
2 31 28
2 49 11
2 5 53
1 45 3
4 1 58
1 4 17
2 41 1
2 48 51
3 21 6
0 36 33
4 42 18
0 12 49
0 49 8
1 32 30
3 27 48
2 42 28
3 3 31
2 4 44
0 18 9
3 19 59
2 16 31
1 3 33
0 0
